referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold,model,calibration_method
0.06,0.9405940594059405,380,24,0.2578947368421053,0.2578947368421053,0.6981981981981982,0.8037974683544303,0.8333333333333334,0.654639175257732,0.17816804103790154,0.08344190292322766,0.5,lightgbm,uncalibrated
0.08,0.9207920792079208,372,32,0.24731182795698925,0.24731182795698925,0.7096774193548387,0.8129032258064516,0.8415300546448088,0.6666666666666666,0.17616432866311563,0.08409148304956245,0.5,lightgbm,uncalibrated
0.1,0.900990099009901,364,40,0.24725274725274726,0.24725274725274726,0.7075471698113207,0.8157894736842105,0.8426966292134831,0.6666666666666666,0.17506610914677015,0.08166734100058633,0.5,lightgbm,uncalibrated
0.12,0.8811881188118812,356,48,0.2443820224719101,0.2443820224719101,0.7129186602870813,0.8163265306122449,0.8465909090909091,0.6666666666666666,0.1736993242280728,0.08550964977396207,0.5,lightgbm,uncalibrated
0.14,0.8589108910891089,347,57,0.23919308357348704,0.23919308357348704,0.7219512195121951,0.8169014084507042,0.8505747126436781,0.6705202312138728,0.17175363984995978,0.0880780879572341,0.5,lightgbm,uncalibrated
0.16,0.8391089108910891,339,65,0.2359882005899705,0.2359882005899705,0.7286432160804021,0.8142857142857143,0.847953216374269,0.6785714285714286,0.17025308907986547,0.08608214652423196,0.5,lightgbm,uncalibrated
0.18,0.8193069306930693,331,73,0.23564954682779457,0.23564954682779457,0.7230769230769231,0.8235294117647058,0.8545454545454545,0.6746987951807228,0.16931209280992324,0.08701583703480574,0.5,lightgbm,uncalibrated
0.2,0.7995049504950495,323,81,0.23219814241486067,0.23219814241486067,0.7210526315789474,0.8345864661654135,0.8616352201257862,0.676829268292683,0.16769530229449814,0.08756568566334938,0.5,lightgbm,uncalibrated
0.22,0.7797029702970297,315,89,0.23174603174603176,0.23174603174603176,0.7204301075268817,0.8372093023255814,0.864516129032258,0.675,0.16683352437389568,0.08974527497213754,0.5,lightgbm,uncalibrated
0.24,0.7599009900990099,307,97,0.2280130293159609,0.2280130293159609,0.7237569060773481,0.8412698412698413,0.8675496688741722,0.6794871794871795,0.1650995827160909,0.09007185945213493,0.5,lightgbm,uncalibrated
0.26,0.7400990099009901,299,105,0.2140468227424749,0.2140468227424749,0.7386363636363636,0.8536585365853658,0.8783783783783784,0.695364238410596,0.15982001896348078,0.08671131040639769,0.5,lightgbm,uncalibrated
0.28,0.7202970297029703,291,113,0.20618556701030927,0.20618556701030927,0.75,0.8571428571428571,0.8835616438356164,0.7034482758620689,0.1564544213216953,0.0866367822840159,0.5,lightgbm,uncalibrated
0.3,0.7004950495049505,283,121,0.20848056537102475,0.20848056537102475,0.7469879518072289,0.8547008547008547,0.8794326241134752,0.704225352112676,0.15678844258721147,0.08608452576293457,0.5,lightgbm,uncalibrated
0.32,0.6806930693069307,275,129,0.20363636363636364,0.20363636363636364,0.7530864197530864,0.8584070796460177,0.8840579710144928,0.708029197080292,0.15444696720598375,0.08647796489958623,0.5,lightgbm,uncalibrated
0.34,0.6608910891089109,267,137,0.1947565543071161,0.1947565543071161,0.7610062893081762,0.8703703703703703,0.8962962962962963,0.7121212121212122,0.15021293798995303,0.08272349527691207,0.5,lightgbm,uncalibrated
0.36,0.6410891089108911,259,145,0.1969111969111969,0.1969111969111969,0.7548387096774194,0.875,0.9,0.7054263565891473,0.1507334140127314,0.09002778538739593,0.5,lightgbm,uncalibrated
0.38,0.6188118811881188,250,154,0.192,0.192,0.7651006711409396,0.8712871287128713,0.8976377952755905,0.7154471544715447,0.14803833574103378,0.09093318916568233,0.5,lightgbm,uncalibrated
0.4,0.599009900990099,242,162,0.1859504132231405,0.1859504132231405,0.7724137931034483,0.8762886597938144,0.9032258064516129,0.7203389830508474,0.1447293287041464,0.09016892459779477,0.5,lightgbm,uncalibrated
0.42,0.5792079207920792,234,170,0.17094017094017094,0.17094017094017094,0.7928571428571428,0.8829787234042553,0.9098360655737705,0.7410714285714286,0.13698739794951753,0.08057224123762624,0.5,lightgbm,uncalibrated
0.44,0.5594059405940595,226,178,0.1592920353982301,0.1592920353982301,0.8148148148148148,0.8791208791208791,0.9090909090909091,0.7619047619047619,0.13080379319827465,0.07445126120424268,0.5,lightgbm,uncalibrated
0.46,0.5396039603960396,218,186,0.1559633027522936,0.1559633027522936,0.8195488721804511,0.8823529411764706,0.9159663865546218,0.7575757575757576,0.12872772476185548,0.07673835146238277,0.5,lightgbm,uncalibrated
0.48,0.5198019801980198,210,194,0.14761904761904762,0.14761904761904762,0.8294573643410853,0.8888888888888888,0.9224137931034483,0.7659574468085106,0.1239167519451565,0.07612918554844232,0.5,lightgbm,uncalibrated
0.5,0.5,202,202,0.14356435643564355,0.14356435643564355,0.8346456692913385,0.8933333333333333,0.9298245614035088,0.7613636363636364,0.12142199255634516,0.07603435683389197,0.5,lightgbm,uncalibrated
0.52,0.4801980198019802,194,210,0.13917525773195877,0.13917525773195877,0.8306451612903226,0.9142857142857143,0.944954128440367,0.7529411764705882,0.11862798797465882,0.07996031386472449,0.5,lightgbm,uncalibrated
0.54,0.4603960396039604,186,218,0.13440860215053763,0.13440860215053763,0.8333333333333334,0.9242424242424242,0.9523809523809523,0.7530864197530864,0.11558571124715926,0.08343313990539071,0.5,lightgbm,uncalibrated
0.56,0.4405940594059406,178,226,0.12921348314606743,0.12921348314606743,0.8421052631578947,0.921875,0.9504950495049505,0.7662337662337663,0.11218998279586773,0.07590693751853148,0.5,lightgbm,uncalibrated
0.58,0.4207920792079208,170,234,0.12941176470588237,0.12941176470588237,0.8440366972477065,0.9180327868852459,0.9484536082474226,0.7671232876712328,0.11223640902206186,0.07355973088043267,0.5,lightgbm,uncalibrated
0.6,0.400990099009901,162,242,0.12962962962962962,0.12962962962962962,0.8365384615384616,0.9310344827586207,0.9560439560439561,0.7605633802816901,0.11225836370173763,0.07902768831417009,0.5,lightgbm,uncalibrated
0.62,0.3811881188118812,154,250,0.13636363636363635,0.13636363636363635,0.83,0.9259259259259259,0.9540229885057471,0.746268656716418,0.11671106500134093,0.08317557462576436,0.5,lightgbm,uncalibrated
0.64,0.3589108910891089,145,259,0.1310344827586207,0.1310344827586207,0.8404255319148937,0.9215686274509803,0.9518072289156626,0.7580645161290323,0.11291229344173954,0.07570340214236128,0.5,lightgbm,uncalibrated
0.66,0.33910891089108913,137,267,0.12408759124087591,0.12408759124087591,0.8539325842696629,0.9166666666666666,0.95,0.7719298245614035,0.10788166409548608,0.0676947584079919,0.5,lightgbm,uncalibrated
0.68,0.3193069306930693,129,275,0.11627906976744186,0.11627906976744186,0.8571428571428571,0.9333333333333333,0.96,0.7777777777777778,0.1020306006369812,0.0698187151198412,0.5,lightgbm,uncalibrated
0.7,0.2995049504950495,121,283,0.09917355371900827,0.09917355371900827,0.8860759493670886,0.9285714285714286,0.958904109589041,0.8125,0.08913351670446529,0.05373580688038472,0.5,lightgbm,uncalibrated
