referral_rate,coverage,n_accepted,n_referred,selective_risk,accepted_case_error_rate,sensitivity,specificity,ppv,npv,brier_score,ece,decision_threshold,model,calibration_method
0.22,0.7798887859128822,1683,475,0.1806298276886512,0.1806298276886512,0.8466135458167331,0.7790868924889544,0.85,0.7745241581259151,0.13465384235857963,0.036008663269291086,0.5,lightgbm,dwac
0.24,0.7599629286376274,1640,518,0.17621951219512194,0.17621951219512194,0.8455284552845529,0.7911585365853658,0.8586171310629515,0.7734724292101341,0.13223130762105473,0.03429507201486092,0.5,lightgbm,dwac
0.26,0.7400370713623726,1597,561,0.17157169693174704,0.17157169693174704,0.8562564632885212,0.7857142857142857,0.8598130841121495,0.7807570977917981,0.12967518399084588,0.03536030171107847,0.5,lightgbm,dwac
0.28,0.7201112140871178,1554,604,0.1653796653796654,0.1653796653796654,0.868559411146162,0.7810945273631841,0.8622129436325678,0.790268456375839,0.1265847819488691,0.03604542127745638,0.5,lightgbm,dwac
0.3,0.7001853568118629,1511,647,0.1628060886829914,0.1628060886829914,0.8780748663101604,0.7708333333333334,0.8614900314795383,0.7956989247311828,0.12453413299348996,0.03678169060261157,0.5,lightgbm,dwac
0.32,0.6797961075069509,1467,691,0.15610088616223586,0.15610088616223586,0.8829321663019694,0.779385171790235,0.868675995694295,0.8011152416356877,0.12110868534144602,0.03677315678760321,0.5,lightgbm,dwac
0.34,0.659870250231696,1424,734,0.14606741573033707,0.14606741573033707,0.8800448430493274,0.8101503759398496,0.8860045146726863,0.8011152416356877,0.11656687393501605,0.033461304788511614,0.5,lightgbm,dwac
0.36,0.6399443929564411,1381,777,0.1397538015930485,0.1397538015930485,0.8816091954022989,0.8238747553816047,0.8949824970828472,0.8034351145038168,0.11312821963069371,0.03316464800922698,0.5,lightgbm,dwac
0.38,0.6200185356811863,1338,820,0.13602391629297458,0.13602391629297458,0.8928987194412107,0.8121085594989561,0.8949824970828472,0.8087318087318087,0.11051691491057564,0.03249553890372785,0.5,lightgbm,dwac
0.4,0.6000926784059314,1295,863,0.12895752895752896,0.12895752895752896,0.8894230769230769,0.838012958963283,0.9079754601226994,0.8083333333333333,0.10626384043149471,0.030172734291486,0.5,lightgbm,dwac
0.42,0.5801668211306765,1252,906,0.12220447284345048,0.12220447284345048,0.8919254658385093,0.8523489932885906,0.9158163265306123,0.8141025641025641,0.10209638477042186,0.029076522477274658,0.5,lightgbm,dwac
0.44,0.5597775718257646,1208,950,0.11920529801324503,0.11920529801324503,0.9018867924528302,0.8401937046004843,0.9157088122605364,0.8164705882352942,0.0998582999548393,0.0302624641371865,0.5,lightgbm,dwac
0.46,0.5398517145505097,1165,993,0.11416309012875536,0.11416309012875536,0.9090909090909091,0.8385416666666666,0.9196891191709845,0.8193384223918575,0.09649535968344905,0.03045200683178863,0.5,lightgbm,dwac
0.48,0.5199258572752549,1122,1036,0.10695187165775401,0.10695187165775401,0.9173228346456693,0.8416666666666667,0.9246031746031746,0.8278688524590164,0.09190967822182543,0.03056353631468593,0.5,lightgbm,dwac
0.5,0.5,1079,1079,0.10009267840593142,0.10009267840593142,0.9248322147651007,0.844311377245509,0.9298245614035088,0.834319526627219,0.08744693461681441,0.03259576961899972,0.5,lightgbm,dwac
0.52,0.48007414272474513,1036,1122,0.09942084942084942,0.09942084942084942,0.9275956284153005,0.8355263157894737,0.9314128943758574,0.8273615635179153,0.08631756281920891,0.03400445418945117,0.5,lightgbm,dwac
